plan_name_upper,plan_domain,lines,carrier_group,carrier_parent,carrier_type,resolved_from,submitter_group,submitter_type
CAPITAL BC,multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
WILSON CRIBBS & GOREN PC,multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"ASURE OPERATIONS, INC.",multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
INTERNATIONAL MISSION BOARD,multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"RAFT, LLC",multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"U.S. ANESTHESIA PARTNERS OF TEXAS, P.A.",usap.com,2,,,,,Other / direct,Unclassified
MPG OPERATIONS EMPLOYEE BENEFITS PLAN,cigna.com,2,Cigna,Cigna,Carrier,domain,Cigna,Carrier
BCBS AL,example.com,2,BCBS Alabama,Independent,Blues licensee,name,Other / direct,Unclassified
NALC BENEFIT HEALTH PLAN,multiplan.com,2,NALC Health Benefit Plan,NALC,Union / Taft-Hartley,name,MultiPlan / Claritev,Repricing vendor
"RAZOR RANK, LLC",multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
HEALTHNOW ADMIN SERVICES,highmark.com,2,Highmark,Highmark,Blues licensee,domain,Blues plan,Blues licensee
LABORERS AND OPERATING ENGINEERS,multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
CIGNA-FED EX FREIGHT INC,cigna.com,2,Cigna,Cigna,Carrier,name,Cigna,Carrier
RESULTANT EMPLOYEE BENEFIT PLAN,multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
SUNSTATE EQUIPMENT CO LLC EMPLOYEE,multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
HORIZON BCSBNJ,claritev.com,2,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
BCBSLA (BCBSLA IS NOT THE INSURER. PROPER PARTY IS STATE OF LOUISIANA OFFICE OF GROUP BENEFITS. SEE RESPONSE.),bcbsla.com,2,BCBS Louisiana,Elevance,Blues licensee,name,Blues plan,Blues licensee
AMBETTER OF NC,centene.com,2,Centene,Centene,Carrier,name,Centene,Carrier
CASA GRANDE ESDEBT CO SUMMIT,summit-inc.net,2,,,,,Other / direct,Unclassified
KOETTER GROUP,multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
ANTHEM BCBS PLAN OF GA,anthem.com,2,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
EASTMAN CHEMICAL COMPANY HEALTH,multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
